,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000064490.14,29.191924,26.454034,34.259688,64.478517,65.882488,67.755292,54.013277,45.573244,54.216502
ENSG00000064545.15,18.497661,14.782893,19.204852,19.943025,26.472582,20.92591,55.489938,59.128354,58.78789
ENSG00000064547.14,0.611019,1.551374,0.426599,12.457357,17.383772,17.597003,22.626966,20.478532,24.710968
ENSG00000064601.21,74.702466,67.103847,67.445103,131.540254,146.054573,136.205351,79.164123,76.955482,75.090331
ENSG00000064607.17,14.417145,11.165685,14.001223,16.680173,15.843964,15.173027,54.265618,57.310263,64.96643
ENSG00000064651.14,1.529748,2.274908,1.473775,20.44176,29.046243,26.301639,22.624861,26.720596,28.245109
ENSG00000064652.11,14.372426,13.290718,12.776501,2.488547,2.426767,3.382813,7.172287,7.787617,6.97544
ENSG00000064655.19,0.025284,0.025088,0,0,0.044182,0,0,0,0
ENSG00000064666.15,79.215598,75.017643,78.353179,43.668513,45.975781,44.722499,159.953354,155.5228,155.633368
ENSG00000064687.13,1.777601,0.945457,2.324731,4.661364,2.705911,2.638197,37.990458,31.886108,31.986896
ENSG00000064692.20,0.139215,0.08212,0,0,0.063595,0,0.265127,0.217182,0.176337
ENSG00000064703.13,14.250224,13.956316,14.955297,8.486706,11.387057,9.43321,10.685261,9.905376,11.051427
