,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000167034.10,445.636,393,366,117,107,106,0,0,0
ENSG00000167037.19,15.948,15.879,20.372,18.601,18.952,12.896,90.832,87.435,119.981
ENSG00000167046.4,1,0,1,7,1,6,1,9,10
ENSG00000167065.14,75,91.888,81.001,110.991,130,145.001,219.003,220.751,241.436
ENSG00000167074.15,233,224,278,129,194,145,325,299,304
ENSG00000167077.13,3.001,4,4,16,12.999,16,1,1,3.864
ENSG00000167080.9,105.108,113.778,74.377,112.656,114.606,65.063,126.794,130.125,163.406
ENSG00000167081.18,150.001,153.999,119.999,119,114.999,140,93,124.999,102
ENSG00000167083.7,0,0,0,147,133.001,131.001,0,1,0
ENSG00000167085.14,5900.997,5592.071,5711.642,6770.088,6852.238,7956.932,3758.487,3582.996,3651.999
ENSG00000167088.11,1142.13,1325.954,1041.775,2060.622,1935.01,2122.464,1146.978,1053.565,1013.029
ENSG00000167094.16,1,0,0,13.015,10,10,8,14,15
ENSG00000167098.12,0,0,0,0,0,0,0,0,0
ENSG00000167100.15,0,0,0,11.963,11.364,6.399,18.653,8,17.201
ENSG00000167103.12,8,9.197,4,61.999,66.001,58.001,44.001,71,60
ENSG00000167104.11,0,0,0,0,0,0,0,0,0
ENSG00000167105.8,28,15,28,232,255,253,1,2,2
ENSG00000167106.12,734.334,754.756,729.85,2269.796,2683.758,2597.905,1544.231,1468.716,1605.924
ENSG00000167107.13,259,257.001,228.999,517.001,499,489.984,523.317,444.999,498.999
ENSG00000167110.19,1460.327,1524.001,1453.389,2678.819,3087.504,3075.822,2098.332,2244.553,2338.168
ENSG00000167112.10,1248.5,1276.212,1271.229,1657.486,1652.425,1702.03,1040.217,982.347,1044.844
ENSG00000167113.11,1114.027,1002.235,1006.664,1102.699,1058.181,1154,1287.026,1141.405,1236.043
ENSG00000167114.13,1243.026,1196,1278,985,1116,1156,1453.929,1373,1345
ENSG00000167117.10,2,8,3.016,182,181.001,165.001,8.005,6.23,1
ENSG00000167118.11,1105.005,1142,1148.999,1711.512,1729,1894,948,957.002,929
ENSG00000167123.20,34.002,30.005,32,167.001,210.999,171,853.104,801.266,780.096
ENSG00000167130.18,434,368,392,525,608.004,546,451,435,411
ENSG00000167131.17,58,43,53.905,212.367,228,282.713,43,42,31
ENSG00000167136.7,680.372,692.335,749.989,520.153,469.309,480.13,226.097,199.886,235.217
ENSG00000167139.9,0,0,0,0,0,0,0,0,0
ENSG00000167157.11,0,0,1,0,0,0,0,0,0
ENSG00000167165.19,2896.803,3199.347,2835.105,63.13,80.719,76.182,0,0,0
ENSG00000167173.19,140,137,146,709,821.001,774,408.001,421,487.001
ENSG00000167178.17,3,3,2,1,0,0,2,3,0
ENSG00000167182.16,189,183,207,307,321,345,365.999,413,434
ENSG00000167183.3,5,10,9,103,104,116,12,11,15
ENSG00000167186.11,252.999,300.999,204,509.999,524,508.001,245.002,288.999,266.001
ENSG00000167191.12,504.205,538.088,544.554,75.021,113.794,106.271,0,0,0
ENSG00000167193.8,3994.254,4185.999,3835.439,1631,1755.394,1795,1602.304,1584.974,1633.001
ENSG00000167194.8,0,0,0,0,0,0,0,0,0
ENSG00000167195.8,25.432,28.252,19.45,50.636,39.869,44.032,34.461,29.987,43.696
ENSG00000167196.14,3093.53,3126.464,3179.571,1661.403,1452.479,1506.239,2065.248,2395.993,2537.585
ENSG00000167202.12,896,929.446,855,507,639,660,647,715,765.993
ENSG00000167207.15,64.002,56,89.031,59.003,49.823,57,12.025,13.054,14.93
ENSG00000167208.16,0,0,0,0,0,0,0,0,0
ENSG00000167210.17,0,0,1,0,0,0,0,0,2
ENSG00000167216.19,34,20.989,16,12,9,15,92,130.001,152
ENSG00000167220.12,678.581,750.673,676.652,149.834,169.72,147.868,439.02,440.694,449.586
ENSG00000167232.14,400.238,465.609,467.174,420.024,505.206,402.809,32.975,40.634,45.098
ENSG00000167244.22,1203.429,1170.282,1176.891,8,17,16,5,7,9
ENSG00000167257.11,239.83,280.616,243.444,319.167,353.123,326.256,342.698,375.981,348.299
ENSG00000167258.16,1590,1490,1379.095,1446,2106.962,1776.986,2700.281,2874.007,2871.676
ENSG00000167261.14,0,1,0,0,0,0,2,1,1
ENSG00000167264.18,305,254.955,271.001,260,243,284.999,242,241,255.001
ENSG00000167272.11,498.004,424.297,465.999,568.243,529,555.001,307.006,270.011,323.001
ENSG00000167280.17,239.999,259.001,207,269.001,320,332,1463.006,1462.525,1647.994
ENSG00000167281.20,1.85,3.954,2,16.873,19.614,9,55.004,58.126,72.807
